wav_filename,wav_filesize,transcript
/home/jia/project/backend/audios/train/1249120_44197979_23991689.wav,57388,i have a sharp pain in my lower stomach 
/home/jia/project/backend/audios/train/1249120_44174241_12756709.wav,38684,don't cry
/home/jia/project/backend/audios/train/1249120_44197979_109954671.wav,152962,when i get out of bed in the morning my body feels very weak 
/home/jia/project/backend/audios/train/1249120_44246595_34981278.wav,115960,i have a great pain in my thorax from heart injury
/home/jia/project/backend/audios/train/1249120_44176037_93714115.wav,169346,i have a hard muscle pain since i went to the gym
/home/jia/project/backend/audios/train/1249120_44174241_106127699.wav,157570,i feel so sore in my stomach area 
/home/jia/project/backend/audios/train/1249120_44174241_49139594.wav,56516,i have shoulder pain after doing any home work 
/home/jia/project/backend/audios/train/1249120_44142156_68965399.wav,98348,i think there's fluid in my ears 
/home/jia/project/backend/audios/train/1249120_44160489_102120596.wav,240790,feels like there are pins and needles sticking in my joints
/home/jia/project/backend/audios/train/1249120_44160489_104477041.wav,160542,the wound is still open
/home/jia/project/backend/audios/train/1249120_44194084_106877624.wav,245804,when i force my eyes to view i have blurry vision 
/home/jia/project/backend/audios/train/1249120_44197979_36600706.wav,155692,my heart is pumping fast and i'm having a hard time to breath 
/home/jia/project/backend/audios/train/1249120_44197979_54337120.wav,221228,my husband left me for another woman  my heart hurts so badly to the point i can't eat or sleep 
/home/jia/project/backend/audios/train/1249120_44197979_85270905.wav,120194,when i'm doing sport i have pain under my skin
/home/jia/project/backend/audios/train/1249120_44197979_92132061.wav,264920,i have a pain that radiates up from my right hip to my rib cage   it is at it's worst when i urinate 
/home/jia/project/backend/audios/train/1249120_44197979_96903123.wav,101080,my acne itches and oozes 
/home/jia/project/backend/audios/train/1249120_44235678_61143318.wav,316802,i had a cut that was stitched together but it is not healing   it is oozing green puss and burns 
/home/jia/project/backend/audios/train/1249120_44235678_80508606.wav,172076,when i stand up too quick my vision is blurry 
/home/jia/project/backend/audios/train/1249120_44142156_100535941.wav,161154,i have some terrible problems when i'm breathing during the night 
/home/jia/project/backend/audios/train/1249120_44142156_108918007.wav,193922,after a breakup  i feel something strange in me 
/home/jia/project/backend/audios/train/1249120_44142156_61923550.wav,112002,i have a rash and it itches very bad 
/home/jia/project/backend/audios/train/1249120_44142156_81969965.wav,147500,when i'm doing sport i have pain under my skin
/home/jia/project/backend/audios/train/1249120_44142156_96248379.wav,524332,my mind feels very sad  as if it hurts   the way i feel in my head is awful and when i think about my break up  i cry with sadness 
/home/jia/project/backend/audios/train/1249120_44142156_96389835.wav,215768,when i walk up a flight of stairs  my right knee hurts 
/home/jia/project/backend/audios/train/1249120_44160489_10247966.wav,234846,i have general discomfort in my torso 
/home/jia/project/backend/audios/train/1249120_44160489_107692984.wav,211068,my cough is very heavy and i have mucus 
/home/jia/project/backend/audios/train/1249120_44160489_24871058.wav,160542,i feel pain in my throat
/home/jia/project/backend/audios/train/1249120_44160489_28078826.wav,169458,i feel pain in my knee
/home/jia/project/backend/audios/train/1249120_44160489_53189650.wav,145680,i feel pain in my back
/home/jia/project/backend/audios/train/1249120_44160489_54710844.wav,154598,my shoulder is hurting me
/home/jia/project/backend/audios/train/1249120_44160489_80710551.wav,136764,i have severe shoulder pain
/home/jia/project/backend/audios/train/1249120_44176037_101499318.wav,139308,fell skull is cracked like nuts
/home/jia/project/backend/audios/train/1249120_44176037_104828775.wav,147500,i was travelling by ship and i feel dizzy 
/home/jia/project/backend/audios/train/1249120_44176037_105110482.wav,131116,i got acne when i ate chili
/home/jia/project/backend/audios/train/1249120_44176037_17869624.wav,316802,my daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing 
/home/jia/project/backend/audios/train/1249120_44176037_20693902.wav,180268,i feel a great pain in my shoulder when i try to lift something heavy
/home/jia/project/backend/audios/train/1249120_44176037_31789912.wav,147500,when i force my eyes to view i have blurry vision 
/home/jia/project/backend/audios/train/1249120_44176037_42605776.wav,112002,i do not know why i feel cold
/home/jia/project/backend/audios/train/1249120_44176037_48938284.wav,210306,the warming system of my house is broken and  feel so cold
